bowling_id,match_code,team_name,player_name,overs,runs_conceded,wickets,economy
195,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,christopher de freitas,0.0,0,0,0.0
196,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,chad potgieter,0.0,0,0,0.0
197,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,carlos nunes,0.0,0,0,0.0
198,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,natim hassam,0.0,0,0,0.0
199,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,zaheer zahiri,2.0,23,0,11.5
200,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,rahimgul naseri,4.0,21,0,5.2
201,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,dawood ahmadzai,4.0,24,0,6.0
202,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,zada sher,3.0,37,1,12.3
203,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,usman khan,4.0,21,4,5.2
204,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,mohammad khan rafah,3.0,20,3,6.7
205,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,vinay ravi,3.5,22,4,5.7
206,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,ahmadullah shinwari,1.0,23,0,23.0
207,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,qamar mushtaque,3.0,16,1,5.3
208,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,muhammad butt,4.0,26,2,6.5
209,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,kuruge abeyrathna,4.0,25,3,6.2
210,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,chaudhary akram,2.0,20,0,10.0
211,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,faisal raza,1.0,6,0,6.0
212,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,khizer ahmed,0.0,0,0,0.0
213,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,ibrahim rahimi,0.0,0,0,0.0
214,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,tafseer ali,0.0,0,0,0.0
215,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,junaid mehmood hussain,0.0,0,0,0.0
216,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,gustav mckeon,0.0,0,0,0.0
217,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,nasibullah arab,0.0,0,0,0.0
218,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,noman amjad,0.0,0,0,0.0
219,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,christian roberts,0.0,0,0,0.0
220,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,lingeswaran canessane,0.0,0,0,0.0
